name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,canonical_smiles
varox,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,Thermo_Experimental,C16H34O4,290.444,9,0,4,36.92,4.82,8.0,51.11,560.83,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
isobutyl isobutyrate,CC(C)COC(=O)C(C)C,Thermo_Experimental,C8H16O2,144.214,4,0,2,26.3,1.84,-80.7,148.0,273.37,CC(C)COC(=O)C(C)C
propargyl alcohol,C#CCO,Thermo_Experimental,C3H4O,56.064,0,1,1,20.23,-0.39,-50.0,113.0,90.97,C#CCO
tert-octylamine,CC(C)(C)CC(C)(C)N,Thermo_Experimental,C8H19N,129.247,2,1,1,26.02,2.16,178.5,140.05,271.2,CC(C)(C)CC(C)(C)N
biphenyl,c1ccc(-c2ccccc2)cc1,Thermo_Experimental,C12H10,154.212,1,0,0,0.0,3.35,69.43,255.2,250.17,c1ccc(-c2ccccc2)cc1
"1,3-dibutylurea",CCCCNC(=O)NCCCC,Thermo_Experimental,C9H20N2O,172.272,6,2,1,41.13,1.89,72.0,286.58,332.47,CCCCNC(=O)NCCCC
trans-stilbene,C(=C/c1ccccc1)\c1ccccc1,Thermo_Experimental,C14H12,180.25,2,0,0,0.0,3.86,123.0,307.0,294.72,C(=C\c1ccccc1)/c1ccccc1
2-heptanol,CCCCCC(C)O,Thermo_Experimental,C7H16O,116.204,4,1,1,20.23,1.95,80.5,159.0,237.99,CCCCCC(C)O
"2,4-hexadienal",C/C=C/C=C/C=O,Thermo_Experimental,C6H8O,96.129,2,0,1,17.07,1.32,-16.5,174.0,166.0,C/C=C/C=C/C=O
hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,Thermo_Experimental,C6H19NSi2,161.397,2,1,1,12.03,2.25,-78.0,125.0,298.73,C[Si](C)(C)N[Si](C)(C)C
2-chloroethyl acrylate,C=CC(=O)OCCCl,Thermo_Experimental,C5H7ClO2,134.562,4,0,2,26.3,0.95,-56.55,51.94,181.23,C=CC(=O)OCCCl
4-tert-butylcyclohexanone,CC(C)(C)C1CCC(=O)CC1,Thermo_Experimental,C10H18O,154.253,1,0,1,17.07,2.79,49.0,239.39,299.81,CC(C)(C)C1CCC(=O)CC1
methyl tetradecanoate,CCCCCCCCCCCCCC(=O)OC,Thermo_Experimental,C15H30O2,242.403,13,0,2,26.3,4.86,18.5,295.0,499.1,CCCCCCCCCCCCCC(=O)OC
2-octanol,CCCCCCC(C)O,Thermo_Experimental,C8H18O,130.231,5,1,1,20.23,2.34,-31.8,178.5,267.25,CCCCCCC(C)O
propyltrimethoxysilane,CCC[Si](OC)(OC)OC,Thermo_Experimental,C6H16O3Si,164.277,5,0,3,27.69,1.27,0.0,142.0,286.41,CCC[Si](OC)(OC)OC
dipentylamine,CCCCCNCCCCC,Thermo_Experimental,C10H23N,157.301,8,1,1,12.03,2.96,-43.89,204.0,329.7,CCCCCNCCCCC
2-methylaziridine,CC1CN1,Thermo_Experimental,C3H7N,57.096,0,1,1,21.94,-0.02,-65.0,67.0,112.55,CC1CN1
copper(i) iodide,[Cu]I,Thermo_Experimental,CuI,190.45,0,0,0,0.0,0.88,606.0,1290.0,28.77,[Cu][I]
methyl octanoate,CCCCCCCC(=O)OC,Thermo_Experimental,C9H18O2,158.241,7,0,2,26.3,2.52,-40.0,194.1,315.17,CCCCCCCC(=O)OC
dimethoxydimethylsilane,CO[Si](C)(C)OC,Thermo_Experimental,C4H12O2Si,120.224,2,0,2,18.46,0.98,-80.0,82.0,209.4,CO[Si](C)(C)OC
decanal,CCCCCCCCCC=O,Thermo_Experimental,C10H20O,156.269,8,0,1,17.07,3.33,17.78,208.33,313.16,CCCCCCCCCC=O
