name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,mw_bin,rb_bin
varox,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,Thermo_Experimental,C16H34O4,290.444,9.0,0.0,4.0,36.92,4.82,8,51.11,560.83,260-350,8-11
isobutyl isobutyrate,CC(C)COC(=O)C(C)C,Thermo_Experimental,C8H16O2,144.214,4.0,0.0,2.0,26.3,1.84,-80.7,148,273.37,100-150,2-4
propargyl alcohol,C#CCO,Thermo_Experimental,C3H4O,56.064,0.0,1.0,1.0,20.23,-0.39,-50,113,90.97,<100,0-1
tert-octylamine,CC(C)(C)CC(C)(C)N,Thermo_Experimental,C8H19N,129.247,2.0,1.0,1.0,26.02,2.16,178.5,140.05,271.2,100-150,2-4
biphenyl,c1ccc(-c2ccccc2)cc1,Thermo_Experimental,C12H10,154.212,1.0,0.0,0.0,0,3.35,69.43,255.2,250.17,150-200,0-1
"1,3-dibutylurea",CCCCNC(=O)NCCCC,Thermo_Experimental,C9H20N2O,172.272,6.0,2.0,1.0,41.13,1.89,72,286.58,332.47,150-200,5-7
trans-stilbene,C(=C/c1ccccc1)\c1ccccc1,Thermo_Experimental,C14H12,180.25,2.0,0.0,0.0,0,3.86,123,307,294.72,150-200,2-4
2-heptanol,CCCCCC(C)O,Thermo_Experimental,C7H16O,116.204,4.0,1.0,1.0,20.23,1.95,80.5,159,237.99,100-150,2-4
"2,4-hexadienal",C/C=C/C=C/C=O,Thermo_Experimental,C6H8O,96.129,2.0,0.0,1.0,17.07,1.32,-16.5,174,166,<100,2-4
hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,Thermo_Experimental,C6H19NSi2,161.397,2.0,1.0,1.0,12.03,2.25,-78,125,298.73,150-200,2-4
2-chloroethyl acrylate,C=CC(=O)OCCCl,Thermo_Experimental,C5H7ClO2,134.562,4.0,0.0,2.0,26.3,0.95,-56.55,51.94,181.23,100-150,2-4
4-tert-butylcyclohexanone,CC(C)(C)C1CCC(=O)CC1,Thermo_Experimental,C10H18O,154.253,1.0,0.0,1.0,17.07,2.79,49,239.39,299.81,150-200,0-1
methyl tetradecanoate,CCCCCCCCCCCCCC(=O)OC,Thermo_Experimental,C15H30O2,242.403,13.0,0.0,2.0,26.3,4.86,18.5,295,499.1,200-260,12+
2-octanol,CCCCCCC(C)O,Thermo_Experimental,C8H18O,130.231,5.0,1.0,1.0,20.23,2.34,-31.8,178.5,267.25,100-150,5-7
propyltrimethoxysilane,CCC[Si](OC)(OC)OC,Thermo_Experimental,C6H16O3Si,164.277,5.0,0.0,3.0,27.69,1.27,0,142,286.41,150-200,5-7
dipentylamine,CCCCCNCCCCC,Thermo_Experimental,C10H23N,157.301,8.0,1.0,1.0,12.03,2.96,-43.89,204,329.7,150-200,8-11
2-methylaziridine,CC1CN1,Thermo_Experimental,C3H7N,57.096,0.0,1.0,1.0,21.94,-0.02,-65,67,112.55,<100,0-1
copper(i) iodide,[Cu]I,Thermo_Experimental,CuI,190.45,0.0,0.0,0.0,0,0.88,606,1290,28.77,150-200,0-1
methyl octanoate,CCCCCCCC(=O)OC,Thermo_Experimental,C9H18O2,158.241,7.0,0.0,2.0,26.3,2.52,-40,194.1,315.17,150-200,5-7
dimethoxydimethylsilane,CO[Si](C)(C)OC,Thermo_Experimental,C4H12O2Si,120.224,2.0,0.0,2.0,18.46,0.98,-80,82,209.4,100-150,2-4
decanal,CCCCCCCCCC=O,Thermo_Experimental,C10H20O,156.269,8.0,0.0,1.0,17.07,3.33,17.78,208.33,313.16,150-200,8-11
decanoic acid,CCCCCCCCCC(=O)O,Thermo_Experimental,C10H20O2,172.268,8.0,1.0,1.0,37.3,3.21,31,270,332.46,150-200,8-11
ethylene diacrylate,C=CC(=O)OCCOC(=O)C=C,Thermo_Experimental,C8H10O4,170.164,7.0,0.0,4.0,52.6,0.44,188.5,219.29,256.88,150-200,5-7
