structure_key,name,smiles,formula,primary_inchikey,n_rows,available_phases,available_phase_coarse,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_mean,cp_median
inchikey::IXQYBUDWDLYNMA-UHFFFAOYSA-N,1-butyl-3-methylimidazolium hexafluorophosphate,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,C8H15F6N2P,IXQYBUDWDLYNMA-UHFFFAOYSA-N,2092,glass|liquid|solid,liquid|other|solid,50.0,550.0,100.0,101.325,96.95,515.6,415.4378702675895,451.5657703578
inchikey::QPDGLRRWSBZCHP-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoroacetate,CCCCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,C10H15F3N2O2,QPDGLRRWSBZCHP-UHFFFAOYSA-M,1230,glass|liquid|solid,liquid|other|solid,50.0,370.0,101.325,101.325,98.36,941.3357563872,311.2418507337737,313.6524686676
inchikey::DZXWLEABYUUFII-UHFFFAOYSA-N,"tris(2,4-pentanedionato-O,O')rhodium",CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O.[Rh+3],C15H21O6Rh,DZXWLEABYUUFII-UHFFFAOYSA-N,1174,solid,solid,188.4,465.4,101.325,101.325,322.3,603.6,433.60502555366276,429.6
inchikey::RTZKZFJDLAIYFH-UHFFFAOYSA-N,diethyl ether,CCOCC,C4H10O,RTZKZFJDLAIYFH-UHFFFAOYSA-N,1157,fluid|gas|liquid,gas|liquid|other,347.716,575.318,,,153.2093472,463.1858784,229.72968105375972,211.3206816
inchikey::AJRFBXAXVLBZMP-UHFFFAOYSA-M,1-methyl-3-propylimidazolium bromide,CCCn1cc[n+](C)c1.[Br-],C7H13BrN2,AJRFBXAXVLBZMP-UHFFFAOYSA-M,1108,glass|liquid|solid,liquid|other|solid,50.0,370.0,101.325,101.325,62.88,1697.0,184.86775348838268,164.083889666
inchikey::JZCCFEFSEZPSOG-UHFFFAOYSA-L,copper(II) sulfate pentahydrate,O.O.O.O.O.O=S(=O)([O-])[O-].[Cu+2],H10CuO9S,JZCCFEFSEZPSOG-UHFFFAOYSA-L,1103,solid,solid,50.0,324.11,101.325,101.325,51.93,383.642539,217.16571684163193,231.2217203
inchikey::BIOOACNPATUQFW-UHFFFAOYSA-N,calcium molybdate(VI),[Ca+2].[Mo].[O-].[O-].[O].[O],CaMoO4,BIOOACNPATUQFW-UHFFFAOYSA-N,1042,solid,solid,50.0,905.7,101.325,101.325,17.63,153.39,130.9119385796545,135.2
inchikey::ZCCIPPOKBCJFDN-UHFFFAOYSA-N,calcium nitrate,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],CaN2O6,ZCCIPPOKBCJFDN-UHFFFAOYSA-N,1023,solid,solid,140.18,718.777,101.325,101.325,107.65289,197.69891,167.43044142717497,171.19908
inchikey::KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,CC(C)O,C3H8O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,983,fluid|gas|glass|liquid|solid,gas|liquid|other|solid,85.0,600.1,100.0,20000.0,51.122833514,572.7055406,253.5270688585534,236.23352362
inchikey::BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,CCC(C)O,C4H10O,BTANRVKWQNVYAZ-UHFFFAOYSA-N,861,fluid|liquid,liquid|other,288.15,562.67,100.0,20000.0,154.6176576,740.7712704,317.5131452023229,278.0301216
inchikey::RCNFOZUBFOFJKZ-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C12H19F6N3O4S2,RCNFOZUBFOFJKZ-UHFFFAOYSA-N,813,glass|liquid|solid,liquid|other|solid,50.0,425.15,101.325,101.325,144.8,739.0,512.8593655010125,605.3585824176
inchikey::LRESCJAINPKJTO-UHFFFAOYSA-N,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C8H11F6N3O4S2,LRESCJAINPKJTO-UHFFFAOYSA-N,783,liquid|solid,liquid|solid,50.0,463.15,101.325,101.325,121.5,572.3,354.5693486590039,338.7
inchikey::OYZZHPSIYKHHAX-UHFFFAOYSA-N,germanium disulfide,[Ge+4].[S-2].[S-2],GeS2,OYZZHPSIYKHHAX-UHFFFAOYSA-N,747,glass|liquid|solid,liquid|other|solid,50.0,1240.0,101.325,101.325,18.92373372,165.54,59.92138578757698,61.282
inchikey::VRFOKYHDLYBVAL-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium ethyl sulfate,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,C8H16N2O4S,VRFOKYHDLYBVAL-UHFFFAOYSA-M,734,glass|liquid,liquid|other,50.0,389.95,100.0,101.325,89.0,591.19687944,326.4874307944415,365.55
inchikey::LVLSMZQRYHJEBW-UHFFFAOYSA-N,germanium iron lithium oxide (Ge2FeLiO6),[Fe+3].[Ge+4].[Ge+4].[Li+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2],FeGe2LiO6,LVLSMZQRYHJEBW-UHFFFAOYSA-N,693,solid,solid,50.9498,869.01,101.325,101.325,23.11431,254.340555,222.10901781818185,243.94743
inchikey::WPYMKLBDIGXBTP-UHFFFAOYSA-N,benzoic acid,O=C(O)c1ccccc1,C7H6O2,WPYMKLBDIGXBTP-UHFFFAOYSA-N,684,liquid|solid,liquid|solid,50.0,432.0,100.0,101.325,39.198,237.15964228,112.72518305197505,113.22501356322
inchikey::GTLACDSXYULKMZ-UHFFFAOYSA-N,pentafluoroethane,FC(F)C(F)(F)F,C2HF5,GTLACDSXYULKMZ-UHFFFAOYSA-N,671,fluid|gas|liquid,gas|liquid|other,303.15,399.0,500.0,5000.0,101.478056498,282.0501866,113.71408170322442,111.5358461308
inchikey::VWFZFKKEKWMXIA-UHFFFAOYSA-M,1-butyl-3-methylimidazolium tosylate,CCCCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,C15H22N2O3S,VWFZFKKEKWMXIA-UHFFFAOYSA-M,654,liquid|solid,liquid|solid,50.0,380.0,101.325,101.325,108.3,740.02425824,336.2514946089602,313.87411359
inchikey::GXZCAMSPWNHTAE-UHFFFAOYSA-N,1-methyl-3-octylimidazolium tetrafluoroborate,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,C12H23BF4N2,GXZCAMSPWNHTAE-UHFFFAOYSA-N,635,glass|liquid|solid,liquid|other|solid,50.0,370.0,100.0,20000.0,114.1,544.2,376.0847874015748,463.2
inchikey::XUARKZBEFFVFRG-UHFFFAOYSA-N,silver sulfide,[Ag+].[Ag+].[S-2],Ag2S,XUARKZBEFFVFRG-UHFFFAOYSA-N,612,solid,solid,299.71,938.11,101.325,101.325,73.92,94.94,84.4961111111111,86.01
inchikey::LUKZNWIVRBCLON-GXOBDPJESA-N,Ciclesonide,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,C32H44O7,LUKZNWIVRBCLON-GXOBDPJESA-N,610,liquid|solid,liquid|solid,303.3,520.96,101.325,101.325,422.00664058,880.996310264,670.808275904636,676.94082512
inchikey::NDDAHWYSQHTHNT-UHFFFAOYSA-N,Indapamide,CC1Cc2ccccc2N1N=C(O)c1ccc(Cl)c(S(N)(=O)=O)c1,C16H16ClN3O3S,NDDAHWYSQHTHNT-UHFFFAOYSA-N,584,glass|liquid|solid,liquid|other|solid,50.0,500.15,101.325,101.325,85.60547424,775.5709632,504.92453561066304,474.85429727999997
inchikey::RYGMFSIKBFXOCR-UHFFFAOYSA-N,copper,[Cu],Cu,RYGMFSIKBFXOCR-UHFFFAOYSA-N,579,solid,solid,50.0,398.65,101.325,101.325,6.173,25.677,20.04811776988256,22.545
inchikey::CDAISMWEOUEBRE-GPIVLXJGSA-N,"cis-1,2,3,5-trans-4,6-cyclohexanehexol",O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,C6H12O6,CDAISMWEOUEBRE-GPIVLXJGSA-N,565,liquid|solid,liquid|solid,50.0,543.15,101.325,101.325,30.99,508.67,226.59697699115046,215.9
inchikey::LECQXINNQGHJBM-UHFFFAOYSA-N,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C14H23F6N3O4S2,LECQXINNQGHJBM-UHFFFAOYSA-N,563,glass|liquid|solid,liquid|other|solid,51.48,385.03,101.325,101.325,159.9,1383.0,465.0914452265037,447.7
