name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,heat_capacity,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,property_name,property_phase_raw,property_phase_norm,phase_coarse,temperature_K,pressure_kPa,expanded_uncertainty,doi,title,journal,year,primary_inchi,primary_inchikey,source_file,component_regnum,component_count,is_mixture,structure_source,structure_key,abs_delta_T_ref,abs_delta_P_ref
"3-nitro-1,2-benzenedicarboxylic acid",O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,Experimental,C8H5NO6,211.129,3.0,2.0,4.0,117.74000000000001,0.9912000000000001,-,-,-,-,-,246.53,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,78.8,10.77,10.1016/j.jct.2018.07.026,Experimental and computational thermochemistry of 3- and 4-nitrophthalic acids,J. Chem. Thermodyn.,2018,"InChI=1S/C8H5NO6/c10-7(11)4-2-1-3-5(9(14)15)6(4)8(12)13/h1-3H,(H,10,11)(H,12,13)",KFIRODWJCYBBHY-UHFFFAOYSA-N,j.jct.2018.07.026.json,5,1,False,inchi,inchikey::KFIRODWJCYBBHY-UHFFFAOYSA-N,0.0,
4-nitrophthalic acid,O=C(O)c1ccc([N+](=O)[O-])cc1C(=O)O,Experimental,C8H5NO6,211.129,3.0,2.0,4.0,117.74000000000001,0.9912000000000001,-,-,-,-,-,233.01,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,78.8,20.71,10.1016/j.jct.2018.07.026,Experimental and computational thermochemistry of 3- and 4-nitrophthalic acids,J. Chem. Thermodyn.,2018,"InChI=1S/C8H5NO6/c10-7(11)5-2-1-4(9(14)15)3-6(5)8(12)13/h1-3H,(H,10,11)(H,12,13)",SLBQXWXKPNIVSQ-UHFFFAOYSA-N,j.jct.2018.07.026.json,6,1,False,inchi,inchikey::SLBQXWXKPNIVSQ-UHFFFAOYSA-N,0.0,
"N,N-dimethyl-dipropylene-diamino-triacetonediamine [EvA34]",CN(C)CCCNCCCNC1CC(C)(C)NC(C)(C)C1,Experimental,C17H38N4,298.5189999999999,9.0,3.0,4.0,39.33,1.8166000000000015,-,-,-,-,-,611.64817842,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,97.7,34.03020612,10.1021/acs.jced.8b01174,"Physicochemical Properties of the System N,N-Dimethyl-dipropylene-diamino-triacetonediamine (EvA34), Water, and Carbon Dioxide for Reactive Absorption",J. Chem. Eng. Data,2019,"InChI=1S/C17H38N4/c1-16(2)13-15(14-17(3,4)20-16)19-11-7-9-18-10-8-12-21(5)6/h15,18-20H,7-14H2,1-6H3",YCCWCOKAIDIFBP-UHFFFAOYSA-N,acs.jced.8b01174.json,1,1,False,inchi,inchikey::YCCWCOKAIDIFBP-UHFFFAOYSA-N,0.0,
1-chloropropane,CCCCl,Experimental,C3H7Cl,78.542,1.0,0.0,0.0,0.0,1.6352,-,-,-,-,-,129.591627,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,13.7445665,10.1021/acs.jced.7b00443,Speed of Sound and Density of 1-Chloropropane in the Range of Temperatures 180-373 K and Pressures up to 196.1 MPa,J. Chem. Eng. Data,2017,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3",SNMVRZFUUCLYTO-UHFFFAOYSA-N,acs.jced.7b00443.json,1,1,False,inchi,inchikey::SNMVRZFUUCLYTO-UHFFFAOYSA-N,0.0,
water,O,Experimental,H2O,18.015,0.0,0.0,0.0,31.5,-0.8247,-,-,-,-,-,75.664176,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,0.16213752,10.1021/acs.jced.7b00483,A Temperature-Dependent Thermodynamic Model Derived from Heat Capacity of Metal Chloride Aqueous Solutions,J. Chem. Eng. Data,2017,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N,acs.jced.7b00483.json,3,1,False,inchi,inchikey::XLYOFNOQVPJJNP-UHFFFAOYSA-N,0.0,
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Experimental,C10H15F6N3O4S2,419.369,5.0,0.0,5.0,91.19,2.1719999999999997,-,-,-,-,-,567.22,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,21.97,10.1021/acs.jced.7b00604,Density and Speed of Sound of the Binary Mixture of 1-Butyl-3-Methylimidazolium Bis(trifluoromethylsulfonyl)imide + 2-Methoxyethanol from T = (298.15 to 323.15) K at Atmospheric Pressure,J. Chem. Eng. Data,2017,"InChI=1S/C8H15N2.C2F6NO4S2/c1-3-4-5-10-7-6-9(2)8-10;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h6-8H,3-5H2,1-2H3;/q+1;-1",INDFXCHYORWHLQ-UHFFFAOYSA-N,acs.jced.7b00604.json,1,1,False,inchi,inchikey::INDFXCHYORWHLQ-UHFFFAOYSA-N,0.0,
2-methoxyethan-1-ol,COCCO,Experimental,C3H8O2,76.095,2.0,1.0,2.0,29.46,-0.37489999999999996,-,-,-,-,-,175.32,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Liquid,liquid,liquid,298.15,100.0,6.79,10.1021/acs.jced.7b00604,Density and Speed of Sound of the Binary Mixture of 1-Butyl-3-Methylimidazolium Bis(trifluoromethylsulfonyl)imide + 2-Methoxyethanol from T = (298.15 to 323.15) K at Atmospheric Pressure,J. Chem. Eng. Data,2017,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",XNWFRZJHXBZDAG-UHFFFAOYSA-N,acs.jced.7b00604.json,2,1,False,inchi,inchikey::XNWFRZJHXBZDAG-UHFFFAOYSA-N,0.0,
pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,Experimental,C16H10,202.25599999999994,0.0,0.0,0.0,0.0,4.584000000000002,-,-,-,-,-,225.8,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,11.3,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H,BBEAQIROQSPTKN-UHFFFAOYSA-N,acs.jced.7b01034.json,1,1,False,inchi,inchikey::BBEAQIROQSPTKN-UHFFFAOYSA-N,0.0,
anthracene,c1ccc2cc3ccccc3cc2c1,Experimental,C14H10,178.23399999999995,0.0,0.0,0.0,0.0,3.993000000000002,-,-,-,-,-,209.9,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,10.5,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H,MWPLVEDNUUSJAV-UHFFFAOYSA-N,acs.jced.7b01034.json,2,1,False,inchi,inchikey::MWPLVEDNUUSJAV-UHFFFAOYSA-N,0.0,
benzoic acid,O=C(O)c1ccccc1,Experimental,C7H6O2,122.12299999999998,1.0,1.0,1.0,37.3,1.3848,-,-,-,-,-,145.2,-,-,-,-,-,-,"Molar heat capacity at constant pressure, J/K/mol",Crystal,solid,solid,298.15,100.0,7.3,10.1021/acs.jced.7b01034,Isothermal Thermogravimetric Study for Determining Sublimation Enthalpies of Some Hydroxyflavones,J. Chem. Eng. Data,2018,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,acs.jced.7b01034.json,3,1,False,inchi,inchikey::WPYMKLBDIGXBTP-UHFFFAOYSA-N,0.0,
