column,count,min,max,mean,median
heat_capacity,1362,12.631,7971.73,366.57647936340567,259.2760201
temperature_K,1362,270.0,328.1,299.17194346549195,298.15
pressure_kPa,1312,78.8,19489.0,223.10310594512197,101.325
expanded_uncertainty,1360,0.01,827.56,13.738082128636554,5.3
molecular_weight,1362,17.031,3662.362000000002,297.06314095025255,198.11899999999997
rotatable_bonds,1362,0.0,53.0,3.548458149779736,2.0
H_bond_donors,1362,0.0,21.0,0.762114537444934,0.0
H_bond_acceptors,1362,0.0,51.0,3.0051395007342143,2.0
TPSA,1362,0.0,1212.4199999999987,71.3985389133627,43.14
logP,1362,-40.453200000000095,23.741990000000055,1.045354676945669,1.480185
abs_delta_T_ref,1362,0.0,29.950000000000045,2.3733810572687237,0.0
abs_delta_P_ref,0,,,,
