structure_key,name,smiles,formula,primary_inchikey,n_rows,available_phases,available_phase_coarse,temperature_min_K,temperature_max_K,pressure_min_kPa,pressure_max_kPa,cp_min,cp_max,cp_mean,cp_median
inchikey::DFVKPOAVMQSZGF-UHFFFAOYSA-N,"3,3-bis(4-methoxy-3-methylphenyl)-1(3H)-isobenzofuranone",COc1ccc(C2(c3ccc(OC)c(C)c3)OC(=O)c3ccccc32)cc1C,C24H22O4,DFVKPOAVMQSZGF-UHFFFAOYSA-N,3,glass|liquid|solid,liquid|other|solid,297.4,316.23,101.325,101.325,449.56,622.32,514.2633333333333,470.91
inchikey::WONIGEXYPVIKFS-YIZRAAEISA-N,(-)-cis-verbenol,CC1=C[C@H](O)[C@H]2C[C@@H]1C2(C)C,C10H16O,WONIGEXYPVIKFS-YIZRAAEISA-N,2,gas|solid,gas|solid,298.15,298.15,100.0,101.325,208.2772731,233.55323758,220.91525534,220.91525534
inchikey::DCSCXTJOXBUFGB-JGVFFNPUSA-N,(-)-verbenone,CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,C10H14O,DCSCXTJOXBUFGB-JGVFFNPUSA-N,2,gas|liquid,gas|liquid,298.15,298.15,100.0,101.325,193.81010922,270.55259348,232.18135135,232.18135135
inchikey::WTARULDDTDQWMU-IUCAKERBSA-N,"(1S,5S)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane",C=C1CC[C@H]2C[C@@H]1C2(C)C,C10H16,WTARULDDTDQWMU-IUCAKERBSA-N,2,gas|liquid,gas|liquid,298.15,298.9,100.0,101.325,183.58332096,243.36430274,213.47381185,213.47381185
inchikey::GRWFGVWFFZKLTI-IUCAKERBSA-N,(S)-2-pinene,CC1=CC[C@H]2C[C@@H]1C2(C)C,C10H16,GRWFGVWFFZKLTI-IUCAKERBSA-N,2,gas|liquid,gas|liquid,298.15,298.9,100.0,101.325,186.6596719,253.0921624,219.87591715000002,219.87591715000002
inchikey::DNJQGRFZQMOYGM-AWEZNQCLSA-N,"(S)-4'-(2-methylbutyl)-[1,1'-biphenyl]-4-carbonitrile",CC[C@H](C)Cc1ccc(-c2ccc(C#N)cc2)cc1,C18H19N,DNJQGRFZQMOYGM-AWEZNQCLSA-N,2,liquid|solid,liquid|solid,280.0,298.15,101.325,101.325,402.21,427.81,415.01,415.01
inchikey::WQZGKKKJIJFFOK-DVKNGEFBSA-N,.alpha.-D-glucose,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,WQZGKKKJIJFFOK-DVKNGEFBSA-N,2,gas|solid,gas|solid,298.15,298.15,101.325,101.325,217.3,219.9,218.60000000000002,218.60000000000002
inchikey::AERVJOBGBMEFDV-UHFFFAOYSA-N,"1'-hydroxy-[1,1'-bicyclohexyl]-2-one",O=C1CCCCC1C1(O)CCCCC1,C12H20O2,AERVJOBGBMEFDV-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,300.0,306.75,101.325,101.325,281.5,350.0,315.75,315.75
inchikey::WZCQRUWWHSTZEM-UHFFFAOYSA-N,"1,3-benzenediamine",Nc1cccc(N)c1,C6H8N2,WZCQRUWWHSTZEM-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,293.0,303.0,101.325,101.325,158.7,219.3,189.0,189.0
inchikey::GHMLBKRAJCXXBS-UHFFFAOYSA-N,"1,3-benzenediol",Oc1cccc(O)c1,C6H6O2,GHMLBKRAJCXXBS-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.0,303.0,101.325,101.325,131.0,237.2,184.1,184.1
inchikey::XEZNGIUYQVAUSS-UHFFFAOYSA-N,"1,4,7,10,13,16-hexaoxacyclooctadecane",C1COCCOCCOCCOCCOCCO1,C12H24O6,XEZNGIUYQVAUSS-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.15,315.0,101.325,101.325,460.0,515.0,487.5,487.5
inchikey::OCJBOOLMMGQPQU-UHFFFAOYSA-N,"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,C6H4Cl2,OCJBOOLMMGQPQU-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.15,326.24,101.325,101.325,143.78,175.98,159.88,159.88
inchikey::FZZQNEVOYIYFPF-UHFFFAOYSA-N,"1,6-dihydroxynaphthalene",Oc1ccc2c(O)cccc2c1,C10H8O2,FZZQNEVOYIYFPF-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,303.0,323.0,101.325,101.325,186.0,311.2,248.6,248.6
inchikey::JBKVHLHDHHXQEQ-UHFFFAOYSA-N,1-aza-2-cycloheptanone,OC1=NCCCCC1,C6H11NO,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,316.0,323.0,101.325,101.325,168.0,232.3,200.15,200.15
inchikey::FCRZSGZCOGHOGF-UHFFFAOYSA-M,1-benzyl-3-methyl-1H-imidazolium chloride,C[n+]1ccn(Cc2ccccc2)c1.[Cl-],C11H13ClN2,FCRZSGZCOGHOGF-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,289.14,298.15,101.325,101.325,288.47,338.42787007,313.448935035,313.448935035
inchikey::RURVFJMRQDXKCP-UHFFFAOYSA-M,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",C[n+]1ccn(Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,C13H14F4N2O3S,RURVFJMRQDXKCP-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,298.15,298.15,101.325,101.325,434.7512201256,509.5128398864,472.13203000600004,472.13203000600004
inchikey::KSOGGGZFEJTGPZ-UHFFFAOYSA-M,"1-butyl-2,3-dimethylimidazolium trifluoromethanesulfonate",CCCCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,C10H17F3N2O3S,KSOGGGZFEJTGPZ-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,293.15,323.15,101.325,101.325,407.1,472.2,439.65,439.65
inchikey::KYCQOKLOSUBEJK-UHFFFAOYSA-M,1-butyl-3-methylimidazolium bromide,CCCCn1cc[n+](C)c1.[Br-],C8H15BrN2,KYCQOKLOSUBEJK-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,298.15,298.15,101.325,101.325,241.8,316.7,279.25,279.25
inchikey::XREPTGNZZKNFQZ-UHFFFAOYSA-M,1-butyl-3-methylimidazolium iodide,CCCCn1cc[n+](C)c1.[I-],C8H15IN2,XREPTGNZZKNFQZ-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,291.92,298.15,101.325,101.325,254.5,309.9,282.2,282.2
inchikey::WPHIMOZSRUCGGU-UHFFFAOYSA-N,1-butyl-3-methylimidazolium nitrate,CCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],C8H15N3O3,WPHIMOZSRUCGGU-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.15,309.16,101.325,101.325,305.8,357.7,331.75,331.75
inchikey::QPDGLRRWSBZCHP-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoroacetate,CCCCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,C10H15F3N2O2,QPDGLRRWSBZCHP-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,296.42,298.15,101.325,101.325,360.4,407.9,384.15,384.15
inchikey::FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,C9H15F3N2O3S,FRZPYEHDSAQGAS-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,290.98,298.15,101.325,101.325,378.5,427.7,403.1,403.1
inchikey::BFCFYVKQTRLZHA-UHFFFAOYSA-N,1-chloro-2-nitrobenzene,O=[N+]([O-])c1ccccc1Cl,C6H4ClNO2,BFCFYVKQTRLZHA-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.93,319.35,101.325,101.325,210.5,211.4,210.95,210.95
inchikey::KMAQZIILEGKYQZ-UHFFFAOYSA-N,1-chloro-3-nitrobenzene,O=[N+]([O-])c1cccc(Cl)c1,C6H4ClNO2,KMAQZIILEGKYQZ-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.93,298.93,101.325,101.325,168.2,208.8,188.5,188.5
inchikey::MHZGKXUYDGKKIU-UHFFFAOYSA-N,1-decanamine,CCCCCCCCCCN,C10H23N,MHZGKXUYDGKKIU-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,270.21,298.11,101.325,101.325,285.94,372.55,329.245,329.245
inchikey::ZYVGZWFCGPUVSH-UHFFFAOYSA-N,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C16H27F6N3O4S2,ZYVGZWFCGPUVSH-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,277.33,298.15,101.325,101.325,717.5,754.8,736.15,736.15
inchikey::LRESCJAINPKJTO-UHFFFAOYSA-N,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C8H11F6N3O4S2,LRESCJAINPKJTO-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,271.44,298.15,101.325,101.325,405.8,505.7,455.75,455.75
inchikey::RCNFOZUBFOFJKZ-UHFFFAOYSA-N,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C12H19F6N3O4S2,RCNFOZUBFOFJKZ-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,272.03,298.15,101.325,101.325,498.9,629.2,564.05,564.05
inchikey::QDKNBSXWLOONGP-UHFFFAOYSA-N,1-hexylquinolinium bis(trifluoromethylsulfonyl)amide,CCCCCC[n+]1cccc2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C17H20F6N2O4S2,QDKNBSXWLOONGP-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.12,317.17,101.325,101.325,455.57,7971.73,4213.65,4213.65
inchikey::AJRFBXAXVLBZMP-UHFFFAOYSA-M,1-methyl-3-propylimidazolium bromide,CCCn1cc[n+](C)c1.[Br-],C7H13BrN2,AJRFBXAXVLBZMP-UHFFFAOYSA-M,2,liquid|solid,liquid|solid,298.15,298.15,101.325,101.325,236.7,280.8,258.75,258.75
inchikey::REIUXOLGHVXAEO-UHFFFAOYSA-N,1-pentadecanol,CCCCCCCCCCCCCCCO,C15H32O,REIUXOLGHVXAEO-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,297.94,319.34,101.325,101.325,422.5,571.9,497.2,497.2
inchikey::AEZLAQZYZLLTIV-UHFFFAOYSA-N,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C20H35F6N3O4S2,AEZLAQZYZLLTIV-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.15,308.77,101.325,101.325,896.2,971.6,933.9000000000001,933.9000000000001
inchikey::XFRVVPUIAFSTFO-UHFFFAOYSA-N,1-tridecanol,CCCCCCCCCCCCCO,C13H28O,XFRVVPUIAFSTFO-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.15,304.7,101.325,101.325,386.9,482.1,434.5,434.5
inchikey::KPSSIOMAKSHJJG-UHFFFAOYSA-N,"2,2-dimethyl-1-propanol",CC(C)(C)CO,C5H12O,KPSSIOMAKSHJJG-UHFFFAOYSA-N,2,liquid|solid,liquid|solid,298.15,328.08,101.325,101.325,214.3,267.44,240.87,240.87
