column,count,min,max,mean,median
heat_capacity,1291,12.631,7971.73,374.70979157079125,267.4
temperature_K,1291,270.0,328.1,299.13876297443846,298.15
pressure_kPa,1291,83.0,120.0,101.22771107668476,101.325
expanded_uncertainty,1289,0.01,827.56,14.122805745974036,5.2
molecular_weight,1291,18.015,3662.362000000002,305.6976444417072,202.191
rotatable_bonds,1291,0.0,53.0,3.653756777691712,2.0
H_bond_donors,1291,0.0,21.0,0.7900852052672347,0.0
H_bond_acceptors,1291,0.0,51.0,3.1247095274980636,2.0
TPSA,1291,0.0,1212.4199999999987,74.56529047250194,44.08
logP,1291,-40.453200000000095,23.741990000000055,0.9741783036405895,1.3922
abs_delta_T_ref,1291,0.0,29.950000000000045,2.2410154918667713,0.0
abs_delta_P_ref,1291,0.0,18.674999999999997,0.13965917893106142,0.0
