############################################################################,,,,,,,,,,
The table contains calculated ideal-gas properties,,,,,,,,,,
,,,,,,,,,,
Abbreviation,Meaning,Units,,,,,,,,
Formula,Molecular formula,,,,,,,,,
Name,Compound name,,,,,,,,,
Nconf,Number of conformers,,,,,,,,,
H,Enthalpy H(298.15 K) - H(0 K),kJ/mol,,,,,,,,
S,"Absolute entropy S0(298.15 K, 100 kPa)",J/K/mol,,,,,,,,
Cp298,Heat capacity Cp at T=298.15 K,J/K/mol,,,,,,,,
Cp400,Heat capacity Cp at T=400 K,J/K/mol,,,,,,,,
Cp500,Heat capacity Cp at T=500 K,J/K/mol,,,,,,,,
dHf,Enthalpy of formation at T=298.15 K,kJ/mol,,,,,,,,
+/-dHf,Expanded (k=2) uncertainty of formation enthalpy,kJ/mol,,,,,,,,
Dipole,Dipole moment (debye),Debye,,,,,,,,
Comment,Comment,,,,,,,,,
"R,S,RR,RS",Stereo states,,,,,,,,,
||,Identical stereo states,,,,,,,,,
,,,,,,,,,,
The computation methods are described in the publications:,,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2018. Efficient estimation of formation enthalpies for closed-shell organic compounds with local coupled-cluster methods. Journal of Chemical Theory and Computation, 14(11), pp.5920-5932.",,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2019. Critical evaluation of the enthalpies of formation for fluorinated compounds using experimental data and high-level ab initio calculations. Journal of Chemical & Engineering Data, 64(11), pp.4863-4874.",,,,,,,,,,
,,,,,,,,,,
############################################################################,,,,,,,,,,
# ,,,,,,,,,,
# MODEL: b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,,,,,,
"# Units: H,dHf - kJ/mol, S,Cp - J/mol/K",,,,,,,,,,
# ,,,,,,,,,,
############################################################################,,,,,,,,,,
Formula,Name,Nconf,H,S,Cp298,Cp400,Cp500,dHf,+/-dHf,Comment
C5H8O,cyclopentanone,1,17.234,314.200,96.122,128.979,157.550,-194.93,2.56,
C4H10O2,"2,3-butanediol",13,25.857,371.655,127.028,159.659,188.395,-465.36,2.74,"(S,S) || (R,R)"
C4H10O2,"2,3-butanediol",11,25.507,365.489,126.761,159.654,188.474,-464.17,2.74,"(R,S)"
C3H6O,propanal,2,17.246,302.042,75.635,94.304,111.613,-186.93,2.56,
C4H6O,(E)-2-butenal,2,18.174,314.077,88.899,110.012,129.231,-103.99,2.69,
C4H8O2,"1,4-dioxane",2,16.335,299.578,92.275,124.761,153.862,-318.51,2.69,
CO2,carbon dioxide,1,9.364,213.744,37.111,41.275,44.543,-392.39,2.69,
C2H7N,dimethylamine,1,14.176,272.235,67.370,85.033,102.220,-17.69,2.67,
C4H9NO,"N,N-dimethylethanamide",1,23.075,360.030,117.589,145.948,172.289,-229.00,2.65,
C4H2N2,cis-2-butenedinitrile,1,17.190,309.855,85.258,100.462,112.413,340.12,3.31,
C5H12O,2-methyl-1-butanol,27,25.606,388.340,130.287,166.622,199.983,-302.31,2.67,R || S
C4H11N,2-butanamine,9,22.360,348.776,112.926,145.003,174.230,-105.37,2.73,R || S
C4H5N,(Z)-2-butenenitrile,1,16.974,307.506,85.004,104.301,121.024,146.42,2.79,
C4H5N,(E)-2-butenenitrile,1,17.274,306.938,85.846,104.650,121.168,148.18,2.79,
C4H8,2-methylpropene,1,16.546,290.540,86.177,109.832,131.150,-17.32,2.60,
C6H12,(E)-3-hexene,4,24.047,374.106,126.365,163.258,197.162,-51.81,2.64,
C5H8,"(Z)-1,3-pentadiene",2,18.774,319.525,97.210,124.028,147.774,82.12,2.81,
C2H7NO,2-aminoethan-1-ol,12,18.648,311.889,82.129,104.235,123.679,-208.98,2.68,
C6H12,(E)-2-hexene,5,24.530,378.757,126.680,163.425,197.276,-53.05,2.64,
C4H8O2,ethyl acetate,4,22.522,368.162,111.453,139.175,164.259,-443.47,2.68,
C5H8,cyclopentene,1,14.831,291.344,80.950,111.984,139.222,33.60,2.59,
C6H12,(Z)-4-methyl-2-pentene,2,23.838,363.742,128.949,165.668,199.111,-54.62,2.64,
C6H12,(Z)-3-methyl-2-pentene,2,24.145,371.267,129.573,165.721,198.883,-60.02,2.64,
C5H8,"2,3-pentadiene",1,19.712,326.453,100.922,126.190,148.910,133.77,2.68,
C6H12,(Z)-3-hexene,3,23.657,372.895,125.710,162.985,197.010,-46.45,2.64,
C5H12O,2-methoxy-2-methylpropane,1,24.228,360.538,133.662,169.436,202.023,-284.76,2.67,
N2O,nitrous oxide,1,9.512,219.564,38.152,42.214,45.361,84.95,2.97,
C4H6O2,cyclopropanecarboxylic acid,4,18.395,323.518,95.589,123.868,147.296,-328.43,2.66,
C5H11N,cyclopentanamine,4,21.351,348.407,109.495,148.732,183.480,-56.46,2.70,
C2N2,ethanedinitrile,1,12.380,239.990,55.692,60.960,64.601,309.11,3.08,
C5H8,"(E)-1,3-pentadiene",2,18.893,317.664,97.747,124.290,147.947,76.83,2.81,
HNO2,nitrous acid,2,11.470,253.454,44.953,51.024,55.800,-78.24,2.76,
C4H6O,2-methyl-1-propen-1-one,1,18.555,312.751,92.496,112.418,130.519,-87.17,2.59,
N2O3,nitrogen oxide (N2O3),1,15.501,300.101,68.905,75.912,81.499,86.93,3.21,
C4H8,cyclobutane,1,13.497,264.375,70.918,98.707,123.529,26.47,2.56,
C5H10,cyclopentane,1,16.317,314.937,87.569,122.576,154.148,-75.91,2.60,
C3H4N2,1H-pyrazole,1,12.389,272.999,64.896,87.618,106.441,176.59,2.95,
C3H3NO,"1,2-oxazole",1,11.956,270.962,60.707,81.374,98.263,81.17,2.64,
C3H3NO,"1,3-oxazole",1,11.859,270.317,59.685,80.158,97.098,-15.49,2.64,
C4H4N2,"1,2-diazabenzene",1,13.703,281.573,74.284,99.612,120.858,277.56,2.96,
C4H4N2,pyrazine,1,13.536,274.891,72.839,97.883,119.174,203.50,2.96,
H4N2,hydrazine,1,11.093,236.348,46.414,55.469,63.783,94.46,2.99,
C4H11NO,"N,N-diethylhydroxylamine",10,25.651,367.197,127.660,162.135,193.260,-121.72,2.72,
C3H4,"1,2-propadiene",1,12.490,242.850,58.186,71.203,82.164,188.24,2.69,
C2H2O,ethenone,1,11.758,241.591,51.451,59.151,65.279,-48.47,2.62,
C5H12,"2,2-dimethylpropane",1,20.921,306.715,118.681,152.648,183.654,-167.09,2.66,
CH2O,methanal,1,10.015,218.618,35.305,39.073,43.519,-110.86,2.56,
C4H6,2-butyne,1,17.602,296.633,81.613,98.328,113.992,148.33,2.58,
C3H6O,oxetane,1,13.410,274.706,63.329,85.577,105.824,-80.49,2.56,
C3H8O2,"propan-1,3-diol",22,22.739,349.286,99.668,126.290,149.867,-410.28,2.72,
