formula,chemical_compound_name,Cp_298_J_per_molK,calculation_method,comment,smiles,pubchem_cid,pubchem_matched_name,lookup_status,smiles_found
C5H8O,cyclopentanone,96.122,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C1CCCC1,8452.0,cyclopentanone,ok,True
C4H10O2,"2,3-butanediol",127.028,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,"(S,S) || (R,R)",CC(O)C(C)O,262.0,"butane-2,3-diol",ok,True
C4H10O2,"2,3-butanediol",126.761,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,"(R,S)",CC(O)C(C)O,262.0,"butane-2,3-diol",ok,True
C3H6O,propanal,75.635,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC=O,527.0,propanal,ok,True
C4H6O,(E)-2-butenal,88.899,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C\C=O,643950.0,(Z)-but-2-enal,ok,True
C4H8O2,"1,4-dioxane",92.275,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1COCCO1,31275.0,"1,4-dioxane",ok,True
CO2,carbon dioxide,37.111,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C=O,280.0,carbon dioxide,ok,True
C2H7N,dimethylamine,67.37,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CNC,674.0,N-methylmethanamine,ok,True
C4H9NO,"N,N-dimethylethanamide",117.589,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(=O)N(C)C,31374.0,"N,N-dimethylacetamide",ok,True
C4H2N2,cis-2-butenedinitrile,85.258,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,failed:None,False
C5H12O,2-methyl-1-butanol,130.287,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCC(C)CO,8723.0,2-methylbutan-1-ol,ok,True
C4H11N,2-butanamine,112.926,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CCC(C)N,24874.0,butan-2-amine,ok,True
C4H5N,(Z)-2-butenenitrile,85.004,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C\C#N,643774.0,(Z)-but-2-enenitrile,ok,True
C4H5N,(E)-2-butenenitrile,85.846,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C/C#N,637921.0,(E)-but-2-enenitrile,ok,True
C4H8,2-methylpropene,86.177,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C(C)C,8255.0,2-methylprop-1-ene,ok,True
C6H12,(E)-3-hexene,126.365,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC/C=C/CC,638066.0,(E)-hex-3-ene,ok,True
C5H8,"(Z)-1,3-pentadiene",97.21,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C/C=C\C,643785.0,"(3Z)-penta-1,3-diene",ok,True
C2H7NO,2-aminoethan-1-ol,82.129,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NCCO,700.0,2-aminoethanol,ok,True
C6H12,(E)-2-hexene,126.68,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C/CCC,639661.0,(E)-hex-2-ene,ok,True
C4H8O2,ethyl acetate,111.453,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCOC(C)=O,8857.0,ethyl acetate,ok,True
C5H8,cyclopentene,80.95,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1=CCCC1,8882.0,cyclopentene,ok,True
C6H12,(Z)-4-methyl-2-pentene,128.949,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C\C(C)C,5326159.0,(Z)-4-methylpent-2-ene,ok,True
C6H12,(Z)-3-methyl-2-pentene,129.573,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C(/C)CC,643935.0,(Z)-3-methylpent-2-ene,ok,True
C5H8,"2,3-pentadiene",100.922,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC=C=CC,136378.0,"penta-2,3-diene",ok,True
C6H12,(Z)-3-hexene,125.71,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC/C=C\CC,643783.0,(Z)-hex-3-ene,ok,True
C5H12O,2-methoxy-2-methylpropane,133.662,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,COC(C)(C)C,15413.0,2-methoxy-2-methylpropane,ok,True
N2O,nitrous oxide,38.152,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,[N-]=[N+]=O,948.0,nitrous oxide,ok,True
C4H6O2,cyclopropanecarboxylic acid,95.589,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C(O)C1CC1,15655.0,cyclopropanecarboxylic acid,ok,True
C5H11N,cyclopentanamine,109.495,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NC1CCCC1,2906.0,cyclopentanamine,ok,True
C2N2,ethanedinitrile,55.692,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,N#CC#N,9999.0,oxalonitrile,ok,True
C5H8,"(E)-1,3-pentadiene",97.747,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C/C=C/C,62204.0,"(3E)-penta-1,3-diene",ok,True
HNO2,nitrous acid,44.953,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=NO,24529.0,nitrous acid,ok,True
C4H6O,2-methyl-1-propen-1-one,92.496,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)=C=O,136395.0,2-methylprop-1-en-1-one,ok,True
N2O3,nitrogen oxide (N2O3),68.905,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=N[N+](=O)[O-],61526.0,N-oxonitramide,ok,True
C4H8,cyclobutane,70.918,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CCC1,9250.0,cyclobutane,ok,True
C5H10,cyclopentane,87.569,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C1CCCC1,9253.0,cyclopentane,ok,True
C3H4N2,1H-pyrazole,64.896,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1cn[nH]c1,1048.0,1H-pyrazole,ok,True
C3H3NO,"1,2-oxazole",60.707,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1cnoc1,9254.0,"1,2-oxazole",ok,True
C3H3NO,"1,3-oxazole",59.685,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1cocn1,9255.0,"1,3-oxazole",ok,True
C4H4N2,"1,2-diazabenzene",74.284,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1ccnnc1,9259.0,pyridazine,ok,True
C4H4N2,pyrazine,72.839,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,c1cnccn1,9261.0,pyrazine,ok,True
H4N2,hydrazine,46.414,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NN,9321.0,hydrazine,ok,True
C4H11NO,"N,N-diethylhydroxylamine",127.66,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCN(O)CC,19463.0,"N,N-diethylhydroxylamine",ok,True
