task,feature_set,model,n_rows,n_features,mae_cv,rmse_cv,r2_cv,cv_type,n_splits
all,basic_2,linear,2047,2,72.30771587930602,121.43470038255745,0.7529246410993188,GroupKFold,5
all,basic_2,ridge,2047,2,72.31059041919458,121.43232227905139,0.7529343181524526,GroupKFold,5
all,basic_2,elasticnet,2047,2,72.3433432949623,121.41266607444987,0.7530142965379694,GroupKFold,5
all,basic_2,random_forest,2047,2,55.488718109547634,100.31025693410041,0.8314089524072881,GroupKFold,5
all,basic_2,gradient_boosting,2047,2,56.33245667434428,99.5200509925813,0.8340546821041144,GroupKFold,5
all,basic_2,svr,2047,2,74.91567148701698,157.33599676176712,0.5852369921202657,GroupKFold,5
all,rdkit_selected,linear,2047,25,41.95726020695085,91.07197482278109,0.861032472170996,GroupKFold,5
all,rdkit_selected,ridge,2047,25,41.467273679543084,78.82601997708208,0.895892259286152,GroupKFold,5
all,rdkit_selected,elasticnet,2047,25,41.020651500615344,70.0370383052608,0.9178137114164704,GroupKFold,5
all,rdkit_selected,random_forest,2047,25,34.53620050511551,63.82227924394895,0.9317522334656171,GroupKFold,5
all,rdkit_selected,gradient_boosting,2047,25,36.85883146033441,65.82901100446975,0.9273930013842934,GroupKFold,5
all,rdkit_selected,svr,2047,25,61.002851586099105,156.91680803575244,0.5874441458348068,GroupKFold,5
all,rdkit_small,linear,2047,33,40.3679975762482,94.17507845133575,0.8514010280084519,GroupKFold,5
all,rdkit_small,ridge,2047,33,39.892139567613874,81.55350723749419,0.8885630776748313,GroupKFold,5
all,rdkit_small,elasticnet,2047,33,39.38445546971756,67.00990455380787,0.9247646713642466,GroupKFold,5
all,rdkit_small,random_forest,2047,33,34.01768720242781,63.09882992867308,0.9332906919895174,GroupKFold,5
all,rdkit_small,gradient_boosting,2047,33,35.772424976562654,64.004468096265,0.9313620333787126,GroupKFold,5
all,rdkit_small,svr,2047,33,61.434773041634394,158.2788109645505,0.5802512787094858,GroupKFold,5
all,morgan,linear,2047,1024,272.68280084910003,510.7531465552346,-3.3708502297186778,GroupKFold,5
all,morgan,ridge,2047,1024,231.56919345306085,397.6532131536062,-1.649432233523381,GroupKFold,5
all,morgan,elasticnet,2047,1024,155.39306979657871,242.02310160390428,0.018574205561190937,GroupKFold,5
all,morgan,random_forest,2047,1024,76.93701127637047,134.7575209967715,0.695736504825434,GroupKFold,5
all,morgan,gradient_boosting,2047,1024,86.16491317884797,137.66655151184386,0.6824583544857779,GroupKFold,5
all,morgan,svr,2047,1024,123.55078515118235,229.63307642710168,0.11648747220093991,GroupKFold,5
all,maccs,linear,2047,167,93.70469867632228,148.28986505012278,0.6315600085316736,GroupKFold,5
all,maccs,ridge,2047,167,93.36651725307969,147.65505867387745,0.6347077278469183,GroupKFold,5
all,maccs,elasticnet,2047,167,91.91523411753738,146.35792812118157,0.6410976273299611,GroupKFold,5
all,maccs,random_forest,2047,167,64.59993011759107,116.7427144451624,0.7716487475960497,GroupKFold,5
all,maccs,gradient_boosting,2047,167,71.56399986950882,123.59608382439555,0.7440511137195436,GroupKFold,5
all,maccs,svr,2047,167,101.63481867799307,206.274698226096,0.28708829623271337,GroupKFold,5
