Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,12.182601542906538,17.224145906872796,12.182601542906538
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,15.036184704441283,21.23443042325316,15.036184704441283
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,15.419303593535616,20.99895392790816,15.419303593535616
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,14.314965069473278,20.191903850369624,14.314965069473278
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,13.351575812834461,18.033081789161674,13.351575812834461
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,14.889830578166556,22.34319796870601,14.889830578166556
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,16.774459167060005,25.21273568671444,16.774459167060005
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,19.65430000776685,28.08389881280276,19.65430000776685
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,18.972185203493055,29.140378339230697,18.972185203493055
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,36.62033261847722,64.05082248934185,36.62033261847722
