feature,importance
NumValenceElectrons,0.22581406154703335
HeavyAtomCount,0.1842914787187556
LabuteASA,0.1195844269225423
MolWt,0.07710302939967598
ExactMolWt,0.07413820888718287
Kappa1,0.06014917290823104
NumRotatableBonds,0.05266821158432435
Kappa2,0.03734027043542854
MolLogP,0.02988099963365414
Kappa3,0.02058295127453611
NumHAcceptors,0.015537034552772765
HeteroAtomCount,0.015000872238440698
RotPerHeavyAtom,0.014209592212277041
FractionCSP3,0.012227660236734047
CarbonFraction,0.011907011463202876
HeteroAtomFraction,0.01019144346174585
TPSA,0.008786015592938031
BalabanJ,0.008498961242012144
RingCount,0.008107970215938365
RingPerHeavyAtom,0.005177811400535032
NumAromaticRings,0.0041880676261735385
NumHDonors,0.002071467053104173
HalogenCount,0.0018652168976384278
NumAliphaticRings,0.0006415993391218615
FormalCharge,3.646515600089894e-05
