Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,12.428877987273559,17.17002255290377,12.428877987273559
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,15.130597204395709,21.343034210838706,15.130597204395709
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,15.087921792297335,20.598419740619924,15.087921792297335
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,14.318054744404023,19.68345005562471,14.318054744404023
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,12.877101688630304,17.514394098323553,12.877101688630304
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,14.47638869700019,21.93062316319564,14.47638869700019
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,16.10465750181179,23.29831860452497,16.10465750181179
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,18.191984510693292,26.969578823141905,18.191984510693292
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,18.86255817006071,29.415109909875124,18.86255817006071
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,36.224688442531836,64.66539518587122,36.224688442531836
