Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,20.259876455503804,28.09286407357033,20.259876455503804
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,24.138529844254027,32.226542066048786,24.138529844254027
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,22.78849219061123,29.24832747787412,22.78849219061123
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,23.299766003133747,29.35049015042592,23.299766003133747
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,22.176421472633827,28.46546019650833,22.176421472633827
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,25.555292559699634,35.18087762184073,25.555292559699634
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,29.74020870050673,41.82362830350112,29.74020870050673
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,37.09726920404258,51.74180044615391,37.09726920404258
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,44.19684963863756,67.48531297279024,44.19684963863756
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,98.68667235735847,167.0530693878475,98.68667235735847
