feature,importance
NumValenceElectrons,0.2245525745185928
HeavyAtomCount,0.18232604665319468
LabuteASA,0.12323208792565798
MolWt,0.07791263256197566
ExactMolWt,0.07528132289575636
Kappa1,0.05839664960516632
NumRotatableBonds,0.05092419676482077
Kappa2,0.03824505453279157
MolLogP,0.028053754364339514
Kappa3,0.020841011906277372
NumHAcceptors,0.016800621571209946
HeteroAtomCount,0.014373556810428383
FractionCSP3,0.013231542346235792
RotPerHeavyAtom,0.013156654709768132
CarbonFraction,0.01182025121946757
HeteroAtomFraction,0.01151854778216024
TPSA,0.009111257210193442
BalabanJ,0.008890112501905854
RingCount,0.007376042216973053
RingPerHeavyAtom,0.005040280937974423
NumAromaticRings,0.004463325642940944
NumHDonors,0.002104374838596626
HalogenCount,0.0016632272342910577
NumAliphaticRings,0.0006381249728427284
FormalCharge,4.674827643879043e-05
