Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,20.12250677232741,28.267006689776142,20.12250677232741
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,23.98369431531899,32.29304891485028,23.98369431531899
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,22.327069270704246,29.402952525764753,22.327069270704246
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,22.627602923701446,28.991133998745042,22.627602923701446
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,22.184482091720707,29.218651156199964,22.184482091720707
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,25.296040038948814,35.12465164096426,25.296040038948814
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,29.854545460603283,44.52231789988425,29.854545460603283
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,36.926049606857525,53.085655704470284,36.926049606857525
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,44.35895426251738,73.64871153836557,44.35895426251738
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,95.76880246575747,163.79046271798532,95.76880246575747
