Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,12.455187018576174,17.26082010071339,12.455187018576174
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,15.190779242055108,21.38653262748428,15.190779242055108
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,15.055379248883627,20.5795116074544,15.055379248883627
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,14.321664154290733,19.708069609930057,14.321664154290733
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,12.929888005315725,17.54470157487066,12.929888005315725
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,14.562445061408226,21.906146057491704,14.562445061408226
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,16.300057466386708,23.472954510561244,16.300057466386708
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,17.935049394785715,26.80137032291438,17.935049394785715
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,18.987016492526795,29.476844404490354,18.987016492526795
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,36.49387940537545,65.02257747530153,36.49387940537545
