Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,19.655634174118763,27.743052216587866,19.655634174118763
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,23.676071192386267,31.928651408536993,23.676071192386267
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,22.357028687912635,29.39481411776245,22.357028687912635
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,22.424829204701844,28.95272168443317,22.424829204701844
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,21.889899514587505,28.302930497872726,21.889899514587505
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,24.921505552665575,34.41179132868918,24.921505552665575
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,29.272691191796028,41.61578480175108,29.272691191796028
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,36.40309962052634,52.86766879635536,36.40309962052634
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,43.177112899942806,72.28679367857167,43.177112899942806
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,93.30048951493153,160.8770836493586,93.30048951493153
