Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,12.316182192734008,17.166278625235904,12.316182192734008
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,14.913396943700347,21.194910961450923,14.913396943700347
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,15.3785301017391,20.719607329775663,15.3785301017391
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,14.260960719425034,19.62379319601392,14.260960719425034
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,12.54210741194282,17.280153421051185,12.54210741194282
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,14.340895364849297,21.76563883363028,14.340895364849297
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,15.89837614624789,22.64121094363939,15.89837614624789
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,18.49806288695742,27.687516170898864,18.49806288695742
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,18.43256989483392,28.765065503666587,18.43256989483392
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,35.99605484781286,63.995838769391476,35.99605484781286
