feature,importance
NumValenceElectrons,0.1667024143420905
HeavyAtomCount,0.14721976334259018
MolMR,0.12747299028657444
LabuteASA,0.10569724742245155
MolWt,0.0643263883952827
ExactMolWt,0.06113585591200355
Kappa1,0.057878329377401644
NumRotatableBonds,0.04605517278516619
Kappa2,0.031836270860381946
MolLogP,0.03145572735938818
HeteroAtomCount,0.025812434806295956
Kappa3,0.01594729636299539
NumHAcceptors,0.014365865072923052
NOCount,0.013693668461966874
RotPerHeavyAtom,0.012187416462691017
FractionCSP3,0.011524381735690953
RingCount,0.011440259197785426
HeteroAtomFraction,0.009100199832643863
TPSA,0.008969761338579695
CarbonFraction,0.008467449244435505
BalabanJ,0.006802206252305306
NumHeterocycles,0.006295392686384241
RingPerHeavyAtom,0.005462223301429183
NumAromaticRings,0.004094341209404521
NHOHCount,0.002269730752852153
HalogenCount,0.001712237565589843
NumHDonors,0.001391674556842799
NumAliphaticRings,0.00039804686959958417
NumSaturatedRings,0.00020169694576153136
NumBridgeheadAtoms,6.171945966646454e-05
NumAmideBonds,2.084953056897436e-05
FormalCharge,9.882702568553108e-07
NumSpiroAtoms,0.0
