Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,20.127710811594266,28.71558244845068,20.127710811594266
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,23.638914667251775,32.267474628675146,23.638914667251775
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,23.354109301056607,30.97873990312987,23.354109301056607
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,24.096781879294397,30.34188043514753,24.096781879294397
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,24.577777300565288,31.503502501591907,24.577777300565288
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,27.4767570779498,37.786491480119636,27.4767570779498
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,33.53991373531434,46.83342560755193,33.53991373531434
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,38.668766868071536,54.345502799621336,38.668766868071536
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,46.12281503480146,76.0626254738283,46.12281503480146
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,96.36186716778062,161.6800937240148,96.36186716778062
