Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,12.541077060723682,17.311051289345496,12.541077060723682
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,15.484683429594163,21.627483595331267,15.484683429594163
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,15.784989396311921,21.0730227620299,15.784989396311921
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,15.387877602493662,20.936511070860416,15.387877602493662
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,14.412683559226355,18.77395230188472,14.412683559226355
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,15.107164127314906,22.393106553011712,15.107164127314906
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,17.73514501920222,25.180974295716744,17.73514501920222
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,19.58454408405327,29.10933420072074,19.58454408405327
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,19.02559887634668,27.545783743923923,19.02559887634668
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,36.92891413055806,63.75223392110415,36.92891413055806
