feature,importance
NumValenceElectrons,0.8411540640922733
HeavyAtomCount,0.03752572576628231
NumRotatableBonds,0.023441904091817782
Kappa2,0.023339879915285567
LabuteASA,0.010185177923098532
Kappa1,0.009722599393365994
RotPerHeavyAtom,0.008887653337722883
FractionCSP3,0.006741848305431318
BalabanJ,0.00627700832262772
MolLogP,0.0046077735242419995
RingPerHeavyAtom,0.003926191645937423
Kappa3,0.003917151044688684
NumHAcceptors,0.0035725305903838898
TPSA,0.003293665117766168
ExactMolWt,0.0021044217871826637
HeteroAtomFraction,0.0020780927409149875
MolWt,0.002041020887517892
NumHDonors,0.0017280011512974835
NumAromaticRings,0.0017093115722883905
CarbonFraction,0.0012409150178706578
RingCount,0.00098207536782574
HeteroAtomCount,0.0008379368469859904
HalogenCount,0.0004620617520256057
NumAliphaticRings,0.00022298980516709686
FormalCharge,0.0
