Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,18.933356357207572,27.502205175630856,18.933356357207572
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,26.198366873614603,32.92830506335494,26.198366873614603
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,26.756529565675155,33.46811601526529,26.756529565675155
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,23.999783565840165,29.8231079713736,23.999783565840165
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,22.64530432529896,29.523031556290825,22.64530432529896
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,25.04778475342648,32.10524697342117,25.04778475342648
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,31.653935908327846,45.48807619434689,31.653935908327846
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,37.251730457643646,52.004147346932456,37.251730457643646
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,47.929776399647984,80.96708510726302,47.929776399647984
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,95.12777687459815,160.10248420899055,95.12777687459815
