Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,14.161498554161618,17.92486094735074,14.161498554161618
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,21.907559899926266,27.161095800035884,21.907559899926266
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,22.74118749063536,26.7900425184738,22.74118749063536
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,20.65824683184351,26.577323226868316,20.65824683184351
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,17.51545421772511,21.96594410752106,17.51545421772511
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,21.10602261033828,26.80397016281935,21.10602261033828
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,23.070170172227943,28.482353938103,23.070170172227943
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,23.74595195897717,31.39381989099159,23.74595195897717
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,22.094699700962536,29.30271000114469,22.094699700962536
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,24.228046136894474,36.76054949222593,24.228046136894474
