model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,1,0.03,157.90786722871513,154.27596908990608,159.4596667727046
gradient_boosting,2,0.03,153.66885695327653,150.3693733412977,155.3145138874112
gradient_boosting,3,0.03,149.62119487890317,146.59539388051013,151.34080348079337
gradient_boosting,4,0.03,145.62358313670495,142.8824867364827,147.25507453269654
gradient_boosting,5,0.03,141.83656048460205,139.3851222811361,143.55003636975403
gradient_boosting,6,0.03,138.08462880076706,135.8671475397615,139.82340286849316
gradient_boosting,7,0.03,134.50255340587708,132.52117001233717,136.32350708241248
gradient_boosting,8,0.03,130.97754248199226,129.16002034877343,132.7386118691064
gradient_boosting,9,0.03,127.55498109547867,126.02398119610041,129.32432776615326
gradient_boosting,10,0.03,124.29894362300503,123.0508336839759,126.19526196785509
gradient_boosting,11,0.03,121.23771342427595,120.1807611427016,122.94889368560145
gradient_boosting,12,0.03,118.14979207678972,117.23890686357171,119.73810945774254
gradient_boosting,13,0.03,115.15450851252719,114.4917337337189,116.83648032547123
gradient_boosting,14,0.03,112.33696950986976,111.90889580803119,114.19965783334747
gradient_boosting,15,0.03,109.63283167559834,109.30632499925684,111.40888702787909
gradient_boosting,16,0.03,107.04773698311249,106.8536952243033,108.79448699338575
gradient_boosting,17,0.03,104.45976552457674,104.45113700130665,106.28113992733729
gradient_boosting,18,0.03,102.03133926163036,102.13493290187877,103.91371590359448
gradient_boosting,19,0.03,99.58880064764716,99.76225009042275,101.45228489144262
gradient_boosting,20,0.03,97.29897398027451,97.51528318319312,99.26534806884526
gradient_boosting,21,0.03,95.00358324759537,95.27362091586201,97.01175967417879
gradient_boosting,22,0.03,92.7583635380486,93.1919953971379,94.9823741579159
gradient_boosting,23,0.03,90.57947172875002,91.0785512866197,92.9387776665945
gradient_boosting,24,0.03,88.56313425840713,89.08424484483841,90.89952302625632
gradient_boosting,25,0.03,86.60408614963175,87.22895583718,89.22018563888638
gradient_boosting,26,0.03,84.70519346402385,85.39963010628216,87.40146537867685
gradient_boosting,27,0.03,82.87966287060135,83.67777725175492,85.72759391420401
gradient_boosting,28,0.03,81.06611722859341,81.99434768589293,84.0245742557969
gradient_boosting,29,0.03,79.4105831434654,80.40750791592845,82.35650565904155
gradient_boosting,30,0.03,77.79952313054521,78.79798936894088,80.84450090519354
gradient_boosting,31,0.03,76.28146414379627,77.23212405222031,79.28405153773824
gradient_boosting,32,0.03,74.79233003244266,75.77122654446237,78.03512588337271
gradient_boosting,33,0.03,73.30941507800765,74.27001536660774,76.49055145202053
gradient_boosting,34,0.03,71.93299832459927,72.88713507762266,75.25006829379473
gradient_boosting,35,0.03,70.62927190896114,71.5795158474143,73.96961002570076
gradient_boosting,36,0.03,69.34743690328325,70.31380823486337,72.80367822314363
gradient_boosting,37,0.03,68.11057354203646,69.08866280573449,71.59918187935438
gradient_boosting,38,0.03,66.97133916562294,67.99433580067347,70.51550252001105
gradient_boosting,39,0.03,65.80419162843954,66.88296029338515,69.4928250786776
gradient_boosting,40,0.03,64.65101420078379,65.72982403105496,68.47328922134518
gradient_boosting,41,0.03,63.59962065929304,64.74356100638636,67.50536061373407
gradient_boosting,42,0.03,62.552223234149956,63.82436685005201,66.50183326046218
gradient_boosting,43,0.03,61.48769528365407,62.92907859483407,65.58558671578068
gradient_boosting,44,0.03,60.458165204467015,62.01176662714361,64.6467725293882
