feature,importance
NumValenceElectrons,0.7288825909111772
MolMR,0.14976710945400418
Kappa2,0.023313146964304792
Kappa1,0.021124262853749885
NumRotatableBonds,0.014543241354698132
FractionCSP3,0.007083285282937348
RotPerHeavyAtom,0.006917759484070908
RingPerHeavyAtom,0.006605799350518159
HeavyAtomCount,0.005811710442789526
LabuteASA,0.004963487217789311
BalabanJ,0.004790116222783654
Kappa3,0.004038410153810752
MolLogP,0.0038864604303044457
TPSA,0.0033661170963846404
NOCount,0.0025228513241232118
MolWt,0.0017339836012209718
RingCount,0.001565609048676178
NumAromaticRings,0.0014710164361652575
CarbonFraction,0.001198015082237394
NumHAcceptors,0.0011672412188166448
ExactMolWt,0.001115008494252524
NumHDonors,0.00102578080872267
NHOHCount,0.0009582193779228639
HeteroAtomFraction,0.0009255199125067448
HeteroAtomCount,0.0005765293591959841
HalogenCount,0.00023419333154459129
NumHeterocycles,0.00017577219294716924
NumSaturatedRings,0.0001296361468742174
NumAliphaticRings,9.265316462149072e-05
NumBridgeheadAtoms,1.4473280849290847e-05
FormalCharge,0.0
NumAmideBonds,0.0
NumSpiroAtoms,0.0
