Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,18.20007078318158,26.983593072743044,18.20007078318158
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,25.737049927045575,32.63984923189805,25.737049927045575
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,26.462071182963783,33.43935881177928,26.462071182963783
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,23.346955133103794,28.625458267969847,23.346955133103794
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,21.86547802390218,27.32024213082702,21.86547802390218
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,25.407622660593866,31.854207628741612,25.407622660593866
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,32.15115160807759,43.38905107070766,32.15115160807759
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,36.03022193981741,53.567286093038305,36.03022193981741
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,45.39876113063316,77.53737288102731,45.39876113063316
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,92.13092699953258,157.01345966344383,92.13092699953258
