Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,14.258251289711872,18.077789666357923,14.258251289711872
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,21.466819314652508,26.51269116573277,21.466819314652508
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,22.504174285984167,26.578368758962775,22.504174285984167
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,20.986506701349153,26.23111852254732,20.986506701349153
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,17.145221360686502,21.42650898178165,17.145221360686502
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,20.670809597315653,26.49504840797701,20.670809597315653
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,21.954234778836522,27.356301081744476,21.954234778836522
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,23.29743679459667,31.168113342158843,23.29743679459667
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,19.61442225680969,27.21285688025719,19.61442225680969
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,23.443846357838105,35.53604370442182,23.443846357838105
