model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,1,0.03,157.90786722871513,154.27596908990608,159.4596667727046
gradient_boosting,2,0.03,153.66885695327653,150.3693733412977,155.3145138874112
gradient_boosting,3,0.03,149.59415961914473,146.51192114936595,151.28919415778228
gradient_boosting,4,0.03,145.5994816504082,142.80443871064628,147.2781673108822
gradient_boosting,5,0.03,141.81043544975273,139.3165707865786,143.5674155678949
gradient_boosting,6,0.03,138.06961927179023,135.83411819644024,139.94709056509507
gradient_boosting,7,0.03,134.49503240629377,132.46747071488554,136.27922924572422
gradient_boosting,8,0.03,130.9666355708646,129.10401065038423,132.69153722939066
gradient_boosting,9,0.03,127.51901574237439,125.99506351246323,129.39648984113657
gradient_boosting,10,0.03,124.28832468122917,123.05684720892278,126.38138116202896
gradient_boosting,11,0.03,121.21721502284602,120.18299933731895,123.12800428190374
gradient_boosting,12,0.03,118.09657491438153,117.29791538294089,120.038338120951
gradient_boosting,13,0.03,115.04041467293763,114.46128064462891,117.02606527702405
gradient_boosting,14,0.03,112.22291498722441,111.88055809266126,114.38922257389083
gradient_boosting,15,0.03,109.44614360406621,109.24845737754207,111.63888936582276
gradient_boosting,16,0.03,106.86816302566363,106.79749064711153,109.03722268419237
gradient_boosting,17,0.03,104.2825009873611,104.31990402162246,106.49931063403
gradient_boosting,18,0.03,101.76741560064302,101.8703877338688,104.04174331190845
gradient_boosting,19,0.03,99.3451440162457,99.55705754783263,101.66167470739377
gradient_boosting,20,0.03,97.08921376355991,97.256200600286,99.41314310229865
gradient_boosting,21,0.03,94.90577308832272,95.11300753348335,97.2276977005523
gradient_boosting,22,0.03,92.6291542151482,92.93081886692232,95.04304912984433
gradient_boosting,23,0.03,90.50878531094892,90.8490626087524,92.94492799039182
gradient_boosting,24,0.03,88.52003154160931,88.95327837259741,91.0352161679443
gradient_boosting,25,0.03,86.56901144944376,87.07758735948528,89.34964392220661
gradient_boosting,26,0.03,84.69955986360624,85.26462317878932,87.54492622594535
gradient_boosting,27,0.03,82.83451236800487,83.51006735195917,85.66358012765863
gradient_boosting,28,0.03,81.04019588786551,81.7986779008735,84.11905707697098
gradient_boosting,29,0.03,79.34435294733808,80.22806897483717,82.54314497113157
gradient_boosting,30,0.03,77.68695629068121,78.6045203153297,81.04288165590782
gradient_boosting,31,0.03,76.10698066389497,77.03033312532065,79.67176402347364
gradient_boosting,32,0.03,74.50350235035387,75.50611036555003,78.09568019002275
gradient_boosting,33,0.03,72.96871906495497,74.13954522977598,76.60833479211074
gradient_boosting,34,0.03,71.54232137425718,72.83469624493209,75.36297691842306
gradient_boosting,35,0.03,70.13323288434043,71.49084029337786,73.99663739237216
gradient_boosting,36,0.03,68.81613554332014,70.27632767287358,72.82754032889649
gradient_boosting,37,0.03,67.55841209128269,69.07138123463379,71.57731166180271
gradient_boosting,38,0.03,66.344683584362,67.86806073349672,70.4744740584312
gradient_boosting,39,0.03,65.10752445254208,66.77182900103408,69.40154848636521
gradient_boosting,40,0.03,63.888701817723934,65.65723801837116,68.23754417148704
gradient_boosting,41,0.03,62.782400729059795,64.58732393660932,67.30646649676473
gradient_boosting,42,0.03,61.68917882394795,63.56698914890264,66.24403199423487
gradient_boosting,43,0.03,60.63429850368932,62.52951107935054,65.25282882243202
gradient_boosting,44,0.03,59.58876638825284,61.53812047156232,64.3266774462477
