feature,importance
NumValenceElectrons,0.22861981079766178
HeavyAtomCount,0.18611965106042563
LabuteASA,0.12512191120195648
MolWt,0.07649592225215926
ExactMolWt,0.07437639724345417
Kappa1,0.05911918255202683
NumRotatableBonds,0.05317464936621707
Kappa2,0.035473448806690414
MolLogP,0.028715719419608335
Kappa3,0.019690453463382357
NumHAcceptors,0.01651593452290205
HeteroAtomCount,0.013561800356039974
FractionCSP3,0.013459954934461312
RotPerHeavyAtom,0.013270718748083141
HeteroAtomFraction,0.010586946650299271
CarbonFraction,0.010459664259510457
RingCount,0.009434560261194243
TPSA,0.007060034184326457
BalabanJ,0.006166555490428007
RingPerHeavyAtom,0.005242861319134725
NumAromaticRings,0.0037242171280079312
NumHDonors,0.0016141048149968904
HalogenCount,0.0015971057127828225
NumAliphaticRings,0.00039839545425039854
FormalCharge,0.0
