Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,15.037251191958486,20.460274664582652,15.037251191958486
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,17.903405026390008,24.0239331743765,17.903405026390008
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,17.648992029193415,22.69329950340353,17.648992029193415
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,16.97157330204882,22.346204536555977,16.97157330204882
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,14.986641670331844,18.97395259455596,14.986641670331844
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,17.634938835584006,25.4645838620466,17.634938835584006
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,20.153356898825724,27.396246212569437,20.153356898825724
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,23.965086110680776,34.052989540293744,23.965086110680776
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,24.762920538575415,39.1823925488286,24.762920538575415
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,51.741825658716444,99.95080073524399,51.741825658716444
