feature,importance
NumValenceElectrons,0.1755683935851896
HeavyAtomCount,0.1455954773760632
MolMR,0.1267833049619188
LabuteASA,0.10371892400351404
MolWt,0.06490448795851404
ExactMolWt,0.06209967006766667
Kappa1,0.055151264187652344
NumRotatableBonds,0.04442580583465134
Kappa2,0.03390770078278701
MolLogP,0.0307524993425251
HeteroAtomCount,0.0234744283287868
Kappa3,0.016860537751584758
NumHAcceptors,0.016281085752644236
NOCount,0.013751551255793233
RotPerHeavyAtom,0.013327678024202738
FractionCSP3,0.010859934952827468
HeteroAtomFraction,0.008736832260509883
CarbonFraction,0.008733788288229504
RingCount,0.008361831814515743
TPSA,0.007699029527078345
NumHeterocycles,0.006910444231983397
BalabanJ,0.006351924951623147
RingPerHeavyAtom,0.005290806118414906
NumAromaticRings,0.004200452035167287
NHOHCount,0.002631336619925482
HalogenCount,0.0015874122871193672
NumHDonors,0.0012174738865986978
NumAliphaticRings,0.0004921703668961036
NumSaturatedRings,0.00022420710974232333
NumBridgeheadAtoms,7.629168554545151e-05
NumAmideBonds,2.117653503701135e-05
FormalCharge,2.0781152919561153e-06
NumSpiroAtoms,0.0
