Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(12.63, 97.418]",205,12.631,97.296,72.20135545385367,20.0743160835149,27.821350600223244,20.0743160835149
"(97.418, 127.57]",205,97.5,127.548,112.58580535707318,23.9091523105003,31.882134516893927,23.9091523105003
"(127.57, 153.68]",204,127.66,153.601,140.15360838480393,22.84473503152785,29.33611055781715,22.84473503152785
"(153.68, 181.341]",205,153.7,181.316,166.98777433268296,23.088362326180548,29.186901478356088,23.088362326180548
"(181.341, 209.9]",205,181.379,209.9,194.73697147560978,21.900648126357197,27.66133643919038,21.900648126357197
"(209.9, 243.786]",204,210.4,243.72,224.94516561519606,25.215632410525306,34.755422263138456,25.215632410525306
"(243.786, 299.786]",205,243.83,299.78,269.77895481268297,29.25350082461151,39.72862139663299,29.25350082461151
"(299.786, 386.98]",204,299.81,386.9,339.43557479950977,37.555867783131326,52.75333223505265,37.555867783131326
"(386.98, 566.494]",205,387.0,566.1,461.4990425643903,42.95827489760877,66.55099074015294,42.95827489760877
"(566.494, 1992.38]",205,567.085,1992.38,858.839569232683,96.21199435516859,165.13898492792083,96.21199435516859
