Cp_bin,n,Cp_min,Cp_max,Cp_mean,mae,rmse,mean_abs_error
"(24.139, 97.25]",124,24.14,97.23,73.3926069712903,15.113051489683217,20.540016319469846,15.113051489683217
"(97.25, 128.196]",123,97.296,127.919,112.75772006666668,17.830516893530206,23.889199908152378,17.830516893530206
"(128.196, 153.846]",123,128.38,153.804,140.68925716504063,17.93824538898661,22.921838699054188,17.93824538898661
"(153.846, 180.172]",124,153.851,180.14,166.5232815887097,16.90098521807649,22.189149631429977,16.90098521807649
"(180.172, 208.145]",123,180.3,208.09,191.95350228130079,15.007316496747656,18.889691876285543,15.007316496747656
"(208.145, 242.686]",123,208.2,242.63,223.30907136341466,17.65017763642845,25.63026065239721,17.65017763642845
"(242.686, 299.07]",124,242.7,299.0,268.6604922225807,20.04771289959708,26.58878780063505,20.04771289959708
"(299.07, 381.918]",123,299.7,381.72,337.8737844325204,24.622489677272544,35.5313591687811,24.622489677272544
"(381.918, 566.73]",123,382.2147576,565.9,453.74033607642286,24.887713025461125,39.60469599565797,24.887713025461125
"(566.73, 1992.38]",124,567.085,1992.38,867.0573986774193,52.42877497095509,99.95470923850462,52.42877497095509
