name,smiles,group,formula,molecular_weight,rotatable_bonds,heat_capacity,canonical_smiles
varox,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,Thermo_Experimental,C16H34O4,290.444,9,560.83,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
isobutyl isobutyrate,CC(C)COC(=O)C(C)C,Thermo_Experimental,C8H16O2,144.214,4,273.37,CC(C)COC(=O)C(C)C
propargyl alcohol,C#CCO,Thermo_Experimental,C3H4O,56.064,0,90.97,C#CCO
tert-octylamine,CC(C)(C)CC(C)(C)N,Thermo_Experimental,C8H19N,129.247,2,271.2,CC(C)(C)CC(C)(C)N
biphenyl,c1ccc(-c2ccccc2)cc1,Thermo_Experimental,C12H10,154.212,1,250.17,c1ccc(-c2ccccc2)cc1
"1,3-dibutylurea",CCCCNC(=O)NCCCC,Thermo_Experimental,C9H20N2O,172.272,6,332.47,CCCCNC(=O)NCCCC
trans-stilbene,C(=C/c1ccccc1)\c1ccccc1,Thermo_Experimental,C14H12,180.25,2,294.72,C(=C/c1ccccc1)\c1ccccc1
2-heptanol,CCCCCC(C)O,Thermo_Experimental,C7H16O,116.204,4,237.99,CCCCCC(C)O
"2,4-hexadienal",C/C=C/C=C/C=O,Thermo_Experimental,C6H8O,96.129,2,166.0,C/C=C/C=C/C=O
hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,Thermo_Experimental,C6H19NSi2,161.397,2,298.73,C[Si](C)(C)N[Si](C)(C)C
2-chloroethyl acrylate,C=CC(=O)OCCCl,Thermo_Experimental,C5H7ClO2,134.562,4,181.23,C=CC(=O)OCCCl
4-tert-butylcyclohexanone,CC(C)(C)C1CCC(=O)CC1,Thermo_Experimental,C10H18O,154.253,1,299.81,CC(C)(C)C1CCC(=O)CC1
methyl tetradecanoate,CCCCCCCCCCCCCC(=O)OC,Thermo_Experimental,C15H30O2,242.403,13,499.1,CCCCCCCCCCCCCC(=O)OC
2-octanol,CCCCCCC(C)O,Thermo_Experimental,C8H18O,130.231,5,267.25,CCCCCCC(C)O
propyltrimethoxysilane,CCC[Si](OC)(OC)OC,Thermo_Experimental,C6H16O3Si,164.277,5,286.41,CCC[Si](OC)(OC)OC
dipentylamine,CCCCCNCCCCC,Thermo_Experimental,C10H23N,157.301,8,329.7,CCCCCNCCCCC
2-methylaziridine,CC1CN1,Thermo_Experimental,C3H7N,57.096,0,112.55,CC1CN1
copper(i) iodide,[Cu]I,Thermo_Experimental,CuI,190.45,0,28.77,[Cu][I]
methyl octanoate,CCCCCCCC(=O)OC,Thermo_Experimental,C9H18O2,158.241,7,315.17,CCCCCCCC(=O)OC
