name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,heat_capacity,source_subset,doi,title,journal,year,property_phase_norm,temperature_K,pressure_kPa,expanded_uncertainty,primary_inchi,primary_inchikey,source_file,subset_row_rank,structure_key
"1,3-dioxolane",C1COCO1,NIST_XML_SetA,C3H6O2,74.079,0,0,2,18.46,-0.009299999999999975,-,-,-,-,-,-,-,-,-,-,-,121.66,SetA,10.1021/je034223r,"Thermodynamics of Mixtures Involving Some Linear or Cyclic Ketones and Cyclic Ethers. 4. Systems Containing 1,3-Dioxolane",J. Chem. Eng. Data,2004,Liquid,298.15,101.325,0.25,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,WNXJIVFYUVYPPR-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je034223r.xml,"(0.0, 0.0, 0.25)",inchikey::WNXJIVFYUVYPPR-UHFFFAOYSA-N
benzonitrile,N#Cc1ccccc1,NIST_XML_SetA,C7H5N,103.124,0,0,1,23.79,1.5582799999999999,-,-,-,-,-,-,-,-,-,-,-,166.415,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.343,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,JFDZBHWFFUWGJE-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.343)",inchikey::JFDZBHWFFUWGJE-UHFFFAOYSA-N
"1,3-dimethylbenzene",Cc1cccc(C)c1,NIST_XML_SetA,C8H10,106.16799999999999,0,0,0,0.0,2.30344,-,-,-,-,-,-,-,-,-,-,-,181.379,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.373,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3",IVSZLXZYQVIEFR-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.373)",inchikey::IVSZLXZYQVIEFR-UHFFFAOYSA-N
"1,4-dimethylbenzene",Cc1ccc(C)cc1,NIST_XML_SetA,C8H10,106.16799999999999,0,0,0,0.0,2.30344,-,-,-,-,-,-,-,-,-,-,-,181.734,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.373,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",URLKBWYHVLBVBO-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.373)",inchikey::URLKBWYHVLBVBO-UHFFFAOYSA-N
ethylbenzene,CCc1ccccc1,NIST_XML_SetA,C8H10,106.16799999999998,1,0,0,0.0,2.2490000000000006,-,-,-,-,-,-,-,-,-,-,-,185.445,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.381,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",YNQLUTRBYVCPMQ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.381)",inchikey::YNQLUTRBYVCPMQ-UHFFFAOYSA-N
"1,2-dimethylbenzene",Cc1ccccc1C,NIST_XML_SetA,C8H10,106.16799999999999,0,0,0,0.0,2.30344,-,-,-,-,-,-,-,-,-,-,-,187.282,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.385,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",CTQNGGLPUBDAKN-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.385)",inchikey::CTQNGGLPUBDAKN-UHFFFAOYSA-N
anisole,COc1ccccc1,NIST_XML_SetA,C7H8O,108.13999999999999,1,0,1,9.23,1.6952,-,-,-,-,-,-,-,-,-,-,-,191.539,SetA,10.1016/j.jct.2006.09.007,Thermodynamics of mixtures involving some (benzene derivatives + benzonitrile),J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.393,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",RDOXTESZEPMUJZ-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2006.09.007.xml,"(0.0, 0.0, 0.393)",inchikey::RDOXTESZEPMUJZ-UHFFFAOYSA-N
methyl butanoate,CCCC(=O)OC,NIST_XML_SetA,C5H10O2,102.133,2,0,2,26.3,0.9595,-,-,-,-,-,-,-,-,-,-,-,198.084,SetA,10.1016/j.jct.2011.10.001,Phase equilibria and the thermodynamic properties of methyl and ethyl esters of carboxylic acids. 1. Methyl n-butanoate and ethyl propanoate,J. Chem. Thermodyn.,2012,Liquid,298.15,101.325,0.398,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3",UUIQMZJEGPQKFD-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2011.10.001.xml,"(0.0, 0.0, 0.398)",inchikey::UUIQMZJEGPQKFD-UHFFFAOYSA-N
"N,N-dimethylethanamide",CC(=O)N(C)C,NIST_XML_SetA,C4H9NO,87.122,0,0,1,20.310000000000002,0.09450000000000003,-,-,-,-,-,-,-,-,-,-,-,172.7,SetA,10.1016/j.jct.2007.02.009,"Thermodynamic properties of N,N-dimethylformamide and N,N-dimethylacetamide",J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.4,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,FXHOOIRPVKKKFG-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2007.02.009.xml,"(0.0, 0.0, 0.4)",inchikey::FXHOOIRPVKKKFG-UHFFFAOYSA-N
dimethylformamide,CN(C)C=O,NIST_XML_SetA,C3H7NO,73.095,1,0,1,20.310000000000002,-0.2956000000000001,-,-,-,-,-,-,-,-,-,-,-,148.2,SetA,10.1016/j.jct.2007.02.009,"Thermodynamic properties of N,N-dimethylformamide and N,N-dimethylacetamide",J. Chem. Thermodyn.,2007,Liquid,298.15,101.325,0.4,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2007.02.009.xml,"(0.0, 0.0, 0.4)",inchikey::ZMXDDKWLCZADIW-UHFFFAOYSA-N
