name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,density,vapor_pressure,enthalpy_of_formation,critical_temperature,critical_pressure,acentric_factor,viscosity,thermal_conductivity,price,heat_capacity,source_subset,doi,title,journal,year,property_phase_norm,temperature_K,pressure_kPa,expanded_uncertainty,primary_inchi,primary_inchikey,source_file,subset_row_rank,structure_key
"1'-hydroxy-[1,1'-bicyclohexyl]-2-one",O=C1CCCCC1C1(O)CCCCC1,NIST_XML_SetA,C12H20O2,196.29000000000002,1,1,2,37.3,2.4409000000000005,-,-,-,-,-,-,-,-,-,-,-,350.0,SetA,10.1021/je0501078,Thermodynamic Properties for 2-(1'-Hydroxycyclohexyl)cyclohexanone and Equilibrium of Dimerization of Cyclohexanone,J. Chem. Eng. Data,2006,Liquid,306.75,101.325,8.6,"InChI=1S/C12H20O2/c13-11-7-3-2-6-10(11)12(14)8-4-1-5-9-12/h10,14H,1-9H2",AERVJOBGBMEFDV-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je0501078.xml,"(8.600000000000023, 0.0, 8.6)",inchikey::AERVJOBGBMEFDV-UHFFFAOYSA-N
1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,NIST_XML_SetA,C20H35F6N3O4S2,559.639,15,0,5,91.19,6.073000000000007,-,-,-,-,-,-,-,-,-,-,-,896.2,SetA,10.1016/j.jct.2016.02.009,Thermodynamics of long-chain 1-alkyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide ionic liquids,J. Chem. Thermodyn.,2016,Liquid,308.77,101.325,4.5,"InChI=1S/C18H35N2.C2F6NO4S2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-20-17-16-19(2)18-20;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h16-18H,3-15H2,1-2H3;/q+1;-1",AEZLAQZYZLLTIV-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2016.02.009.xml,"(10.620000000000005, 0.0, 4.5)",inchikey::AEZLAQZYZLLTIV-UHFFFAOYSA-N
N-methylaniline,CNc1ccccc1,NIST_XML_SetA,C7H9N,107.15599999999999,1,1,1,12.03,1.7283,-,-,-,-,-,-,-,-,-,-,-,206.86,SetA,10.1021/je401098b,Excess Heat Capacities of Binary and Ternary Mixtures Containing 1-Ethyl-3-methylimidazolium Tetrafluoroborate and Anilines,J. Chem. Eng. Data,2014,Liquid,298.15,101.325,3.36,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",AFBPFSWMIHJQDM-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je401098b.xml,"(0.0, 0.0, 3.36)",inchikey::AFBPFSWMIHJQDM-UHFFFAOYSA-N
tetrabutylphosphonium L-lysinate,CCCC[P+](CCCC)(CCCC)CCCC.NCCCC[C@H](N)C(=O)[O-],NIST_XML_SetA,C22H49N2O2P,404.62000000000023,17,2,4,92.17,4.397000000000002,-,-,-,-,-,-,-,-,-,-,-,997.4,SetA,10.1021/je900660x,Thermophysical Properties of Amino Acid-Based Ionic Liquids,J. Chem. Eng. Data,2010,Liquid,298.15,101.325,100.7,"InChI=1S/C16H36P.C6H14N2O2/c1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4;7-4-2-1-3-5(8)6(9)10/h5-16H2,1-4H3;5H,1-4,7-8H2,(H,9,10)/q+1;/p-1/t;5-/m.0/s1",AFLMVTVHHQPBDD-ZSCHJXSPSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je900660x.xml,"(0.0, 0.0, 100.7)",inchikey::AFLMVTVHHQPBDD-ZSCHJXSPSA-M
tetrabutylphosphonium L-threoninate,CCCC[P+](CCCC)(CCCC)CCCC.C[C@@H](O)[C@H](N)C(=O)[O-],NIST_XML_SetA,C20H44NO3P,377.55000000000007,14,2,4,86.38,3.648800000000002,-,-,-,-,-,-,-,-,-,-,-,961.3,SetA,10.1021/je900660x,Thermophysical Properties of Amino Acid-Based Ionic Liquids,J. Chem. Eng. Data,2010,Liquid,298.15,101.325,97.1,"InChI=1S/C16H36P.C4H9NO3/c1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4;1-2(6)3(5)4(7)8/h5-16H2,1-4H3;2-3,6H,5H2,1H3,(H,7,8)/q+1;/p-1/t;2-,3+/m.1/s1",AHMSJQDRPDBCTQ-RCROYASPSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je900660x.xml,"(0.0, 0.0, 97.1)",inchikey::AHMSJQDRPDBCTQ-RCROYASPSA-M
1-methyl-3-propylimidazolium bromide,CCCn1cc[n+](C)c1.[Br-],NIST_XML_SetA,C7H13BrN2,205.099,2,0,1,8.809999999999999,-2.273399999999997,-,-,-,-,-,-,-,-,-,-,-,280.8,SetA,10.1016/j.jct.2014.07.018,Low-temperature heat capacity and derived thermodynamic properties for 1-methyl-3-propylimidazolium bromide and 1-butyl-3- methylimidazolium iodide,J. Chem. Thermodyn.,2014,Liquid,298.15,101.325,1.2,"InChI=1S/C7H13N2.BrH/c1-3-4-9-6-5-8(2)7-9;/h5-7H,3-4H2,1-2H3;1H/q+1;/p-1",AJRFBXAXVLBZMP-UHFFFAOYSA-M,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1016/j.jct.2014.07.018.xml,"(0.0, 0.0, 1.2)",inchikey::AJRFBXAXVLBZMP-UHFFFAOYSA-M
2-chlorobenzeneamine,Nc1ccccc1Cl,NIST_XML_SetA,C6H6ClN,127.57400000000001,0,1,1,26.02,1.9222,-,-,-,-,-,-,-,-,-,-,-,200.5,SetA,10.1021/je700080k,Heat Capacities of Chloroanilines and Chloronitrobenzenes,J. Chem. Eng. Data,2007,Liquid,298.93,101.325,3.991,"InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2",AKCRQHGQIJBRMN-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je700080k.xml,"(0.7800000000000296, 0.0, 3.991)",inchikey::AKCRQHGQIJBRMN-UHFFFAOYSA-N
"1,5-pentanediol",OCCCCCO,NIST_XML_SetA,C5H12O2,104.14899999999999,4,2,2,40.46,0.1413000000000001,-,-,-,-,-,-,-,-,-,-,-,232.49,SetA,10.1021/je800356x,"Heat Capacities of Some Liquid alpha,omega-Alkanediols within the Temperature Range between (293.15 and 353.15) K",J. Chem. Eng. Data,2008,Liquid,298.15,101.325,3.6,"InChI=1S/C5H12O2/c6-4-2-1-3-5-7/h6-7H,1-5H2",ALQSHHUCVQOPAS-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je800356x.xml,"(0.0, 0.0, 3.6)",inchikey::ALQSHHUCVQOPAS-UHFFFAOYSA-N
"1,9-nonanediol",OCCCCCCCCCO,NIST_XML_SetA,C9H20O2,160.25700000000003,8,2,2,40.46,1.7016999999999998,-,-,-,-,-,-,-,-,-,-,-,389.02,SetA,10.1021/je800356x,"Heat Capacities of Some Liquid alpha,omega-Alkanediols within the Temperature Range between (293.15 and 353.15) K",J. Chem. Eng. Data,2008,Liquid,318.65,101.325,6.03,"InChI=1S/C9H20O2/c10-8-6-4-2-1-3-5-7-9-11/h10-11H,1-9H2",ALVZNPYWJMLXKV-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je800356x.xml,"(20.5, 0.0, 6.03)",inchikey::ALVZNPYWJMLXKV-UHFFFAOYSA-N
pentan-1-ol,CCCCCO,NIST_XML_SetA,C5H12O,88.14999999999999,3,1,1,20.23,1.1689,-,-,-,-,-,-,-,-,-,-,-,208.8,SetA,10.1021/je049738c,Partial Molar Heat Capacities and Partial Molar Volumes of All of the Isomeric (C3 to C5) Alkanols at Infinite Dilution in Water at 298.15 K,J. Chem. Eng. Data,2004,Liquid,298.15,101.325,2.4,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",AMQJEAYHLZJPGS-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je049738c.xml,"(0.0, 0.0, 2.4)",inchikey::AMQJEAYHLZJPGS-UHFFFAOYSA-N
1-iodohexane,CCCCCCI,NIST_XML_SetA,C6H13I,212.074,4,0,0,0.0,3.0017000000000014,-,-,-,-,-,-,-,-,-,-,-,217.79783103,SetA,10.1021/je034013e,"Temperature Dependence of the Thermophysical Properties of 1-Chlorohexane, 1-Iodohexane, 1-Iodoheptane, and 1-Chlorononane at Saturation Condition",J. Chem. Eng. Data,2004,Liquid,298.15,101.325,6.57422859,"InChI=1S/C6H13I/c1-2-3-4-5-6-7/h2-6H2,1H3",ANOOTOPTCJRUPK-UHFFFAOYSA-N,/home/users/Beom/work/1.Project/7.AIML/1.midterm_preparation/3.initial_ML_training/5.data_augmentation/0.NIST_thermopyl/10.1021/je034013e.xml,"(0.0, 0.0, 6.57422859)",inchikey::ANOOTOPTCJRUPK-UHFFFAOYSA-N
